Technical name,Description,Value Type,Range from - until,Unit
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_sensorsTirePressureRear,[protocol buffers field 41]  Sensors tire pressure rear of the bike,float,0 .. ,psi
ConnectedRide_CloudSync.ProtocolBuffers.Trip_beginTimeInMillis,[protocol buffers field 1] Start time of the trip in miliseconds,int64,0 .. ,Unix Timestamp in Milliseconds
ConnectedRide_CloudSync.ProtocolBuffers.Trip_endTimeInMillis,[protocol buffers field 2] End time of the trip in miliseconds,int64,0 .. ,Unix Timestamp in Milliseconds
ConnectedRide_CloudSync.ProtocolBuffers.Trip_favorite,[protocol buffers field 3] If it is a favorite trip,bool,false .. true,false
ConnectedRide_CloudSync.ProtocolBuffers.Trip_name,[protocol buffers field 4] Name of the trip,string,,0
ConnectedRide_CloudSync.ProtocolBuffers.Trip_minTemp,[protocol buffers field 5] Minimum temperature during the trip,int32,,C Degrees
ConnectedRide_CloudSync.ProtocolBuffers.Trip_maxTemp,[protocol buffers field 6] Maximum temperature during the trip,int32,,C Degrees
ConnectedRide_CloudSync.ProtocolBuffers.Trip_maxSpeed,[protocol buffers field 7] Maximum speed during the trip in km/h,float,0 .. ,km/h
ConnectedRide_CloudSync.ProtocolBuffers.Trip_avgSpeed,[protocol buffers field 8] Average speed during the trip in km/h,float,0 .. ,km/h
ConnectedRide_CloudSync.ProtocolBuffers.Trip_length,[protocol buffers field 9] Length of the trip,int32,0 .. ,Meters
ConnectedRide_CloudSync.ProtocolBuffers.Trip_drivingTime,[protocol buffers field 10] Time the trip took,int64,0 .. ,Seconds
ConnectedRide_CloudSync.ProtocolBuffers.Trip_segments,[protocol buffers field 11] Segment of the trip,repeated TrackSegment,,TrackSegment
ConnectedRide_CloudSync.ProtocolBuffers.Trip_images,[protocol buffers field 12] Image asociated with the trip,repeated Image,,Image
ConnectedRide_CloudSync.ProtocolBuffers.Trip_bikeVdsDatas,[protocol buffers field 13] Dynamic bike data,repeated BikeVdsData,,BikeVdsData
ConnectedRide_CloudSync.ProtocolBuffers.Trip_bikeId,[protocol buffers field 14] Internal id of the bike,bytes,,0
ConnectedRide_CloudSync.ProtocolBuffers.TrackSegment_trackPoints,[protocol buffers field 1] Repeated track points,repeated TrackPoint,,TrackPoint
ConnectedRide_CloudSync.ProtocolBuffers.TrackSegment_extendedTrackPoints,[protocol buffers field 2] Repeated further track points from a track segment,repeated BikeVdsData,,BikeVdsData
ConnectedRide_CloudSync.ProtocolBuffers.TrackSegment_vehicleId,[protocol buffers field 3] Internal vehicle identifier. SHA256 of either shortVin or longVin.,bytes,,Example: '2105b648a61c6bdfaacc8a82c27256366faa613e719355f17d71fd2c4b5475e5'
ConnectedRide_CloudSync.ProtocolBuffers.TrackSegment_longVin,[protocol buffers field 4] Vehicle Identification Number,string,,Example: 'WB10J8107LZG75077'
ConnectedRide_CloudSync.ProtocolBuffers.TrackSegment_segmentType,[protocol buffers field 5] Standard street routing or offroad,enum,,"DEFAULT = 0;OFFROAD = 1;"
ConnectedRide_CloudSync.ProtocolBuffers.TrackPoint_timestampInMillis,[protocol buffers field 1] Timestamp of a track point,int64,0 .. ,Unix timestamp in milliseconds
ConnectedRide_CloudSync.ProtocolBuffers.TrackPoint_latitude,[protocol buffers field 2] Latitude of a track point,float,-90 .. 90,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.TrackPoint_longitude,[protocol buffers field 3] Longitude of a track point,float,-180 .. 180,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.TrackPoint_speed,[protocol buffers field 4] Speed at the track point,float,0 .. ,km/h
ConnectedRide_CloudSync.ProtocolBuffers.TrackPoint_elevation,[protocol buffers field 5] Elevation of the track point,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_source,[protocol buffers field 1] Source of the planned route,enum,,"IMPORTED = 0;PLANNED = 1;IMPORTED_AS_WAYPOINTS=2"
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_routeCalculationSettings,[protocol buffers field 2] Setting of the route calculation,RouteSettings,,RouteSettings (see below)
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_title,[protocol buffers field 4] Title of the planned route,string,,0
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_creationDate,[protocol buffers field 3] Creation date of the planned route,int64,0 .. ,Unix Timestamp in seconds
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_estimatedDurationInSeconds,[protocol buffers field 5] Estimated time the planned route takes in seconds,int32,0 .. ,Seconds
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_estimatedLengthInMeters,[protocol buffers field 6] Estimated length of the planned route,int32,0 .. ,Meters
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_waypoints,[protocol buffers field 7] List of waypoints to describe the route,repeated PlannedRouteWaypoint,,0
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRoute_trackpoints,[protocol buffers field 8] List of trackpoints to describe the route,repeated PlannedRouteTrackpoint,,0
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteWaypoint_latitude,[protocol buffers field 1] Latitude of a waypoint on the planned route,Float,-90 .. 90,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteWaypoint_longitude,[protocol buffers field 2] Longitude of a waypoint on the planned route,float,-180 .. 180,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteWaypoint_title,[protocol buffers field 3] Title of the waypoint on the planned route,string,,Weekend tour'
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteWaypoint_address,[protocol buffers field 4] Address of the waypoint on the planned route,string,,Petuelring 130'
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteTrackpoint_latitude,[protocol buffers field 1] Latitude of the trackpoint on the planned route,float,-90 .. 90,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteTrackpoint_longitude,[protocol buffers field 2] Llongitude of the trackpoint on the planned route,float,-180 .. 180,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteTrackpoint_elevationInMeters,[protocol buffers field 3] Evelation of the trackpoint on the planned route,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.PlannedRouteTrackpoint_timestampInMillis,[protocol buffers field 4] Timestamp of trackpoint on planned route,int64,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_routeType,[protocol buffers field 1] Route type settings,enum,,"FASTEST = 0;SHORTEST = 1;CURVY = 2;ECO = 3"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_curvynessAmount,[protocol buffers field 2] Curvyness setting for the route,enum,,"CURVYNESS_LOW = 0;CURVYNESS_MEDIUM = 1;CURVYNESS_HIGH = 2"
